"id","President","text1"
1,"Clinton","hello thank you whoa thank you all so much thank you  thank you very very much i have to begin by thanking our host the people of philadelphia  you know a little something about history and about making history and i am so grateful to everyone in this city who hold such a great convention together who were so gracious welcoming and hospitable and i am thrilled that so many americans from everywhere got a chance to see philadelphia to see whats in this great city  people kept coming back from going for walks going to museums going to other sites telling me how much they were impressed and so i want to thank your mayor thank you mayor kenney  i want to thank your congressman who tried to come home to philadelphia every day and i know why because he loves this city bob brady   i am always happy to be here with someone whos been a friend for bill and me over so many years an extraordinary public servant and advocate former governor and mayor ed rendell  now i like tim i had the great pleasure of serving in the senate with senator bob casey and i appreciated his tenacity the attention to detail the work he did for you every single day and so i want to thank bob and i want also to recognize who i hope will be his partner in the senate come november katie mcginty  and i hope the next attorney general for the commonwealth of pennsylvania josh shapiro  this has been such an vigorating exciting week as i said last night we heard from the man from hope bill clinton  and we heard from the man of hope barack obama  and i was so excited to introduce to america our partners it  its going to be fun to travel with both tim and ann because they  they are going to demonstrate to the country what the people of virginia already know theres no better people to have in your corner than tim kaine and ann holten  now i  i dont know about you but i  i stayed up really late last night it was just hard to go to sleep we  oh thank you thank you it  it was so exciting and but i  i have to tell you it was also kind of overwhelming i  i take deeply and with great humility the responsibility that this great campaign imposes on us there is no doubt in my mind that every election in our democracy is important in its own way but i cant think of an election that is more important certainly in my lifetime and its not so much that i am on the ticket it is because of the stark choice that is posed to america in this election so when i did  when i did wake up this morning  thank you  when i  when i  when i did  did start moving and bill and i started drinking our coffee or asking that it be administered through an iv    we suddenly looked at each other and we realized as of tomorrow we have  days to make our case to america  so what better place to kick off this campaign than right here in philadelphia where it all started  years ago i  i believe with all my heart that our founders came together to create one nation because they understood what we understand we are stronger together  and  and as we pointed out during our four great days of our convention you heard something very different from the republicans didnt you we  we might as well have been talking about two different countries or as someone said to me two different planets donald trump painted a picture a negative dark divisive picture of a country in decline he insisted that america is weak and he told us all after laying out this very dark picture that i alone can fix it now as i  as i watched and heard that it set off alarm bells because just think about what happened here  years ago think about our founders coming together a declaration of independence writing a constitution they set up our form of government the longestlasting democracy in the history of the world  and you know they did it they did it  they did it because they knew they didnt want one person one man to have all the power like a king and think about george washington our first president after he served he stepped down voluntarily people around him couldnt believe it but he said no this is the example we should set a democracy requires something from all of us not just people we elect but every single one of us and washington set that example and i dont know any founder no matter how  how strong they were how smart they were who believed that only they could solve our problems so   and ill tell you something else   ill tell  ill tell you something else they also expected a kind of raucous debate in america but at the end of the debate we have to come together and get things done dont we  so as tim said we are going to get on a bus as soon as we leave here and were going to drive through pennsylvania and into ohio its kind of nostalgic for me my dad was born in scranton i spent every summer of my life up in northeast pennsylvania my father my brother went to penn state so i know  i  i know how beautiful this commonwealth is and how wonderful the people are but weve got work to do im not satisfied with the status quo im not telling you that everything is just peachy keen im telling you weve made progress but we have work to do if were going to make sure everybody is included  and  and you know i think that weve got to have more good jobs weve got to raise wages weve got to tackle inequality weve got to make this economy work for everyone not just those at the top  and  and if you listened really closely to the republican convention you know that donald trump talked for  minutes and did not offer one solution in fact his  his speech his whole convention seemed more about insulting me instead of helping the american people  so heres what ive said i will do and were going to get to work on the very first day within the first  days of our administration were going to break through the gridlock in washington and make the biggest investment in new goodpaying jobs since world war ii  were going to do it in infrastructure technology clean energy advanced manufacturing  and im also going to pay special attention to those parts of our country that have been left out and left behind from our inner cities to our small towns from indian country to coal country from communities ravaged by addiction and places hallowed out by plant closures anybody willing to work in america should be able to find a job to get ahead and stay ahead thats my goal  so on our bus tour were going to be visiting a few places where people are making things i find it highly amusing that donald trump talks about make america great again he doesnt make a thing in america except bankruptcies  so theres a lot to be done my friends and im excited im excited to have tim and anne as part of this team and im excited to have the nd president of the united states as part of this team  the four of us are going to barnstorm the country because as a very smart president who just so happens to be here today once said there is nothing wrong with america that cant be cured by whats right with america  so now we had a great convention but weve got to go out and weve got to fight for our vision of the future and i cant do it alone i need each and every one of you heres what id ask you to do please join us go to hillaryclintoncom or text join  join  to  to be part of this campaign and we are hiring organizers here in pennsylvania and across the country  and between now and election day we are going to register three million more people  and were not just going to register them were going to get them to commit to vote  we feel deeply the responsibility for continuing the work that started down the road from here  years ago now nobody who looks like me was thought to be possible to run for president back then no one who looked like barack obama was thought to be possible  but contrary to donald trump i believe every time we knock down a barrier in america it liberates everyone in america  i have to say last night after  after the end of our convention i knew  i knew that every parent in this country could look at their son or their daughter and now say the very same thing you too could be president of the united states thank you all god bless you"
2,"Clinton","and after the convention was over starting friday morning tim kaine and his wonderful wife anne and bill i and i got on a bus and started traveling across pennsylvania into ohio   we visited factories small towns bigger cities we met with so many hardworking people who told us their stories and they proved every day that donald trump is wrong america is not weak   i agree with warren this is the greatest nation on earth and our best days are still ahead of us   now that doesnt mean we dont have challenges and problems of course we do right here at home and around the world  but i dont believe there is anything that americans cant do if we make up our minds because you know why we are stronger together   but as warren said too many people havent gotten a raise since the great crash theres too much inequality and too little opportunity washington is paralyzed by special interests and big money but dont let anyone tell you we dont have what it takes if we make up our minds to solve our problems and dont believe anyone who tells you i alone can fix it    when donald trump said that in his convention speech i did a bit of a mental doubletake i listened to that speech  minutes of it and it was like he was talking about a different country forgetting about everyone in america who gets up every day and works together people who make a difference every single day   hes forgetting our troops on the front lines hes forgetting police officers and firefighters who run toward danger hes forgetting about doctors and nurses who save lives and teachers who change lives hes forgetting about unions who fight for working families and communities that pull together through hard times   i grew up in the midwest i was born in chicago raised outside of chicago my dad was a small businessman i mean really small it was mostly just him and occasionally my mother my brothers and me and sometimes he would hire helpers to get one of his orders out because he printed fabrics to be made into draperies and he had a print plant with long tables he was a very selfreliant man but i dont think he for a minute through his growing up in scranton pennsylvania through his service as a chief petty officer in the navy through his work and business or his raising our family ever thought to himself i alone can fix it thats just not the way we were raised we were raised to get together we were raised to follow up on the extraordinary example of our founders  years ago in philadelphia who came together you see that across nebraska you see people working i have been in omaha i have visited projects schools other kinds of nonprofits and institutions where people are working together thats what we do in america we see a problem and we say we will fix it together and thats what were going to do when we get the white house to move us forward in the direction we need to go   now i know how hard the great recession was it was a terrible time the worst financial crisis since the great depression and people in nebraska worked hard to come back i think it was a terrible moment it could have gotten even worse i believe that a lot of difficult decisions had to be made and we have come back from that terrible financial crisis thanks to the hard work of nebraskans americans and president obama we got out of the ditch we were in   so i think if were going to solve the problems we have we ought to be really clear about where we have come from we now have  million new jobs that have been created in the last sevenandahalf years we now have  million more americans who have access to health care    we have the highest percentage ever in our history of young people walking across graduation stages to get their high school diplomas   so i know we have made progress but i know we shouldnt be satisfied as americans we always have to be asking ourselves what can we do better how can we make more progress how can we help more people were still facing tough challenges that developed long before the recession and they have stayed with us the economy is not working the way it should for everyone   starting in iowa back in april of  until the convention this week i have met so many people who tell me you know they dont expect a handout they dont even expect you know life to be easy but they dont think it should be this hard it shouldnt be that people feel like theyre out there on their own like no one cares about them that theyre not respected that the dignity of their job is not something that we all support i know a lot of people who feel that way i bet there are some in this gymnasium who feel that way well heres what i want you to know you deserve a president who will get up every single day in the white house and do everything she can to give you the chance you deserve to have    and i will quickly add as important as it is to have someone who gets what youre going through i think its also really important that that person tells you what her plans are for producing results   so if you saw what i said on thursday night let me give you the short punchier version and it starts by making clear we do have to rewrite the rules so that our economy works for everyone not just those at the top  my overriding mission as president will be to do everything i can to help our country create more jobs with rising incomes i believe anyone willing to work hard should be able to find a job that pays well enough to support a family   so in my first  days we are going to break through the gridlock in washington and make the biggest investment in new goodpaying jobs since world war ii we are going to make the boldest investment in american infrastructure since the highway system   warren read you some of the quotes from donald trump well he has said so many things that i profoundly vehemently disagree with and for the life of me i dont know why someone runs to be president of the united states who thinks and says we never win anymore our country is full of losers well he could not be more wrong we are going to fix and build the roads the bridges the tunnels the ports the airports the water systems we need   and i want to say a particular word to any of you here from rural nebraska we are going to bring diverse economic development to rural communities to support our farmers and others in small towns who keep america going   and one specific way we will do that is to make sure we have an electric grid that can take and distribute energy from clean renewable sources    in fact i know because ive seen them in the crowd there are few people from iowa here today and your neighbor iowa is already getting onethird of its electricity from clean energy primarily wind energy   and what i love about them is theyre also giving farmers extra income for hosting the turbines on their farm and they are taking abandoned factories and actually assembling the wind turbines putting people to work in iowa to produce the energy for iowa   the other thing were going to do is finish the job of building out broadband so everybody in america no matter where you live has access to the internet"
3,"Clinton","good morning i am so pleased to be here i want to thank you all for the invitation for the introduction to everyone associated with nabj and nahj i want to just mark the moment because you were created in this hotel i dont know if there are any original founders but if there are could you all stand up and we could give you some recognition i am delighted to thank you for the important work you do everyday and now more then ever we need you to keep holding leaders and candidates accountable and in the tradition of pathbreaking journalists like ethel payne and ruben salazar we need you to make sure that americas front pages and nightly new casts and online information reflects the great diversity of our nation someone that i had the privilege of knowing the late great bob maynard former owner of the oakland tribune once said  and i quote bob it is in seeing ourselves whole that we can begin to see ways of working out our differences of understanding our similarities and becoming a more cohesive nation and that is what you do everyday helping us to see ourselves as whole  im looking forward to our discussion which im sure will cover a wide range of issues but i want to take just a few minutes to focus on a challenge that doesnt get enough attention on the campaign trial although ive been trying and that is how do we expand economic opportunity for africanamericans and latinos across america and you know very well  its been said  that when the economy catches a cold communities of color get pneumonia the great recession hit our whole country hard but the toll was especially difficult for black and latino families black wealth was cut in half for latinos it dropped  percent that represented decades even generations of hard work and during these past  months people across our country have described to me how hard its been to get back on their feet in an economy that is still not working the way we all want to see it and barriers of systemic racism makes that even harder now i believe that president obama does not get the credit he deserves for leading us out of the great recession  and i like to remind people he had nothing to do with creating it in the first place  he came into office in this worst of all financial crises since the great depression  was handed to him and i think if you fairly look at the record you have to conclude that his leadership saved us from a great depression  so as bad a things became   million jobs lost  million homes lost  trillion in family wealth wiped out  as bad as it was theres no telling how far down we would have gone without his leadership so we are out of the ditch that we were in and now weve got to do even more weve got to build on the progress weve made  million new jobs in the last seven and a half years  million people now have health insurance who did not have it before he became president so weve got to have the will and the plans together to move forward thats why ive proposed a comprehensive new commitment to african american and latino communities to make serious sustained investments to create more good paying jobs to help families build and rebuild wealth to support black and latino owned small businesses for me these arent just economic issues theyre part of a long continuing struggle for civil rights rosa parks opened up every seat on the bus now weve got to expand economic opportunities so everyone can afford the fare and we have to make sure the bus route reaches every neighborhood and connects families with safe affordable housing and good jobs  sylvia mendez and ruby bridges helped desegregate our schools now weve got to help every family afford the books computers and internet access that our kids need to learn in the st century and so in my first  days as president we will work with both parties to pass the biggest investment in new good paying jobs since world war ii that includes jobs in manufacturing clean energy technology and innovation small businesses and infrastructure if we invest in infrastructure now we will not only create jobs today we will lay the foundation for the jobs of the future were going to also focus on creating jobs and communities where unemployment remains stubbornly high after generations of underinvestment and neglect im a big fan of congressman jim clyburns  plan steering  percent of federal investment to neighborhoods where  percent of the population has been living below the poverty line for  years we need that kind of focused targeted investment in urban places rural places wherever americans have been left out and left behind were also going to invest  billion in creating jobs for young people theres a big gap here the unemployment rate among latino and african american youth is significantly higher than for whites you know its hard to write a resume if you have nothing to put on it were going to help our young people get that first job so they can get that second job so they can build a good solid middle class life that will give them and their families a better future were also going to do more to help black and latino entrepreneurs get access to capital so they have a real chance at turning their ideas into thriving businesses now i think thats not only good for those entrepreneurs its good for their families their workers and their communities additionally as part of our end to end reform of the criminal justice system were going to help people succeed when they return home from jail or prison were going to ban the box so they can be judged by their skills and talents not by their pasts and we will dedicate  billion to provide training and support to returning citizens so they can get a good paying job and in my first  days im going to introduce legislation for comprehensive immigration reform with a path to citizenship  thats not only the right thing to do every independent analysis shows it will add hundreds of billions of dollars to our economy it will also keep families together we need to bring hard working people out of the shadows america has always been a place where people from around the world work hard and apply their talents to american growth and innovation in pursuit of their own dreams so were going to do everything we can to get this done  we need to build an economy and a future that every american can be proud of and be a part of an economy that works for everyone not just those at the top that will be my mission as president these are just some of the highlights of our plan i hope you will go to my website hillaryclintoncom to read the details including how we are going to pay for everything i have proposed and of course i hope you will compare what im proposing to what my opponent is talking about now heres one measure that you could use for that comparison an independent economist recently calculated that if my agenda for jobs and growth is put into place our economy would create at least  million jobs within four years we actually think it could be more than that now this economist also ran the numbers on donald trump including his disastrous and inhumane plan to round up and deport millions of hard working immigrants the result according to mark zandi who was the economic advisor to john mccain during his  run for the presidency the result of trumps plans would be a lengthy recession with  million jobs lost now of course donald trumps problems go far beyond economics at every turn he stokes division and resentment he says horrible things about one group of americans after another hes hearkening back to the most shameful chapters of our history and appealing to the ugliest impulses of our society you know the list youve reported on it he started this campaign by describing mexican immigrants as criminals and rapists he retweets white nationalists he says a distinguished federal judge cant be trusted because he is of mexican heritage he talks about banning muslims from coming to the united states a land built on religious freedom and yes he also talks about curtailing press freedom as well we need to stand up as a country and say that donald trump doesnt represent who we are and what we believe that is what my campaign what tim kaine and i and everyone supporting us is doing everyday and were going to keep at it because i believe with all my heart that america is better than this america is better than donald trump we just launched an all spanish twitter account because we want to bring as many americans as possible into this conversation weve opened offices in every state because we want to compete everywhere we want to bring our message and our vision to all corners of our country but we cant do it alone everyone republican democrat and independent needs to stand up and speak out now i think journalists have a special responsibility to our democracy in a time like this as ida b wells once said people must know before they can act and there is no educator to compare to the press now many of you are showing the way its a badge of honor when jorge ramos gets thrown out of a press conference for challenging donald trump  or when another news organization gets banned for reporting what he says as jorge said the best journalism happens when you take a stand when you denounce injustice so i hope youll keep calling it like you see it keeping holding all of us accountable you know i have laid out all these plans and im well aware that i have been sometimes made fun of for putting out these plans about the economy and education and criminal justice reform and healthcare and gun safety measures and all the rest of it but i do have this old fashioned idea when you run for president you ought to tell the voters of america what you would do as president so i am going to keep telling you what i would do because i want you to hold me accountable press and citizen alike because the stakes are as high as theyve ever been in our lifetimes and we all have to do our part so thank you for what you do everyday thank you for inviting me to address you today and i look forward to taking some of your questions thank you all very much     great   right   its a great question and its one that i obviously have given much thought to because i am determined that we are going to achieve comprehensive immigration reform with a path to citizenship so here is how i see it  first of all we are going to start immediately i want this to be a clear high priority for my administration we will be prepared to introduce legislation as quickly as we can do so i am hoping that the outcome of the election which i am working hard to ensure a victory will send a clear message to our republican friends that its time for them to quit standing in the way of immigration reform if you remember after the  election the republican national committee did what they called an autopsy of their loss and concluded that they could not continue to deny the importance of immigration reform and they urged republicans running for office to get on board now that hasnt turned out the way that they seemed to have hoped we have instead a republican nominee who has been virulently anti immigrant but theres nothing like winning to change minds and i think number one we have a good chance of having a democratic senate if everybody does what i hope they will do and vote for democratic candidates for the senate i believe we will pick up some seats in the house and at least if not take it back narrow the numbers if we move in the senate and then we demand that there be a vote in the house because i am convinced that if the bipartisan bill that had been achieved in the senate  remember when marco rubio was for it and people worked hard and achieved it if it had been allowed to come for a vote in the house it would have passed so i view the political landscape as increasingly favorable to us making this happen i will also defend the presidents executive actions i like you was disappointed with the supreme court decision but remember what it did it sent the case back to be tried it did not determine the case so daca and dapa are still alive trump has said one of his first acts as president would be to eliminate every executive order that president obama has signed including those on immigration issues so i will defend daca and dapa while i work vigorously for immigration reform  i have proposed an office of immigrant affairs for the white house so that we are able to answer questions and provide information and help people i will take a very hard look at the deportation priorities my priority are violent criminals people suspected of any kind of connection to terrorism not hard working mothers and fathers and people who go to work help support this economy pay  billion a year into social security so we will take a hard look at that we will close private detention centers just like i want to end private prisons were going to close private detention centers so i have a very active agenda and were going to be moving on it and i believe  and you know obviously it depends upon the outcome of this election  which is why its so important to register more voters my campaign is trying to register  million more voters convince people to turn out because were going to start early and were going to be tenacious and absolutely committed to getting a positive result i think the chances once we win will improve dramatically   well look i think that the president was committed to immigration reform its one of the reasons we got the bipartisan bill passed in the senate and what we didnt get though was enough political pressure to turn that bill into a voting issue in the  midterm election and heres one of my frustrations people turn out to vote for presidential elections and then often dont for midterm elections so we lost  we lost a lot of the leverage because we lost the house of representatives so nothing happens easily or quickly in modern politics in america but here is what i know as i have said we are not going to be deporting hard working people and breakup families ive been on record for a yearanda half about this and that will be how i direct the department of homeland security to act we are going to push on immigration reform and i will need not only a considerable vote in november but i will need people across our country to make it clear to their elected representatives that theyre going to be held accountable for how they are going to act on immigration reform we put enough organizing and political effort into this i am optimistic and i believe we can get this done but it wont happen simply because we want it and i can only say that i will give you my very best efforts and i will do everything i can to help elect a democratic senate ive already talked to some of my former colleagues in the senate this will be fasttracked we already know what can pass the senate because it happened just a few years ago and if we then put enough pressure on the house and do everything we can to really force them to have to take what the senate passes i think the outcome will be very different this time thats my goal and thats what im going to do every thing i can to achieve    well kristin i appreciate your asking that because i was pointing out in both of those instances that the director comey had said that my answers in my fbi interview were truthful thats really the bottom line here and i have said on  during the interview and in many other occasions over the past months that what i told the fbi  which he said was truthful  is consistent with what i have said publicly so i may have short circuited it and for that i  you know will try to clarify because i think  you know chris wallace and i were probably talking past each other be  because of course he could only talk to what i had told the fbi and i appreciated that now i have acknowledged repeatedly that using two email accounts was a mistake i  and i take responsibility for that but i do think you know having him say that my answers to the fbi were truthful and then i should quickly add what i said was consistent with what i had said publicly and  and thats really sort of in my view trying to tie both ends together   well he  heres  heres what  here are the facts behind that as well you know that i preside i  i sent over  emails to the state department that were workrelated emails director comey said that only  out of  had anything resembling classified markers what does that mean well usually if any of you have ever served in the government a classified document has a big heading on the top which makes very clear what the classification is and in questioning director comey made the point that the  e mails out of the  did not have the appropriate markings and it was therefore reasonable to conclude that anyone including myself would have not  suspected that they were classified and in fact i think that has been discussed by others who have said two out of those three were later explained by the state department not to have been in any way confidential at the time that they were delivered so that leaves the  out of  emails that director comey testified  contained classified information but again he acknowledged there were no markings on those  emails and so what we have here is pretty much what i have been saying throughout this whole year and  and that is that i never sent or received anything that was marked classified now if in retrospect which is what is behind the  number if in retrospect some different agencies said but it should have been  although it wasnt  it should have been thats what the debate about  is about but director comey said there was absolutely no intention on my part to either ignore or in any way dismiss the importance of those documents because they werent marked classified so that would have hard to do and i will go back to where i started i regret using one account ive taken responsibility for that but im pleased to be able to clarify and explain what i think the bottom line is on this   well i had the great honor of working with mike morell spending a lot of hours with him in the situation room in the white house he is a consummate professional who has devoted his entire professional career to protecting our country i was honored to receive his endorsement i will let his comments speak for themselves but i  i really appreciated his explaining as he did in his oped  some of whats at stake in this election    well i  i really  i really believe that the core of his support  im not going to speak for everyone who supports him because i think there have been some quite distressing statements coming out of his rallies and his supporters and who has aligned themselves with him  but i think the core of his support really centers on the disappointment in the economy that so many americans feel and what i have been saying is you know im going to bring this country together i think we have three overarching goals we need more economic opportunity we need to protect our national security and we have got to work toward american unity so i have been trying to understand what it is that has driven people to support trump and ive met with some people i have listened to them and so many of them are looking for an explanation as to why they lost the job they had for  years when the factory closed and nobody cared about them what theyre going to do when their whole life was spent mining coal and they made  thousand a year now they can barely find a job making minimum wage why the centers of so many old industrial towns in america are hollowed out and people are turning to opiates and heroin and the list goes on and thats what ive heard so i think we have to recognize that of course some of the appeal is xenophobic and racist and misogynistic and offensive  we have to acknowledge that but lets not lose sight of the real pain that many americans are feeling because the economy has left them behind so i have said  i said it again in my acceptance speech last thursday i want to be the president for all americans i want to lift up and give everybody a chance to pursue their dreams and that means people who are supporting him when i went to west virginia i knew that i was not gonna win west virginia i can tell you that and i was in a meeting with a group of folks including a coal miner who was incredibly emotional and talking to me and outside there was a big trump protest going on and one of the people at the protest for goodness sakes was blankenship who had just been convicted of reckless indifference toward the wellbeing of his coal miners  causing deaths so clearly the lines are pretty stark but i have said you know ive got a plan for coal country ive got a plan for indian country ive got a plan for inner cities ive got a plan for rural communities its one of the reasons as i said in my remarks that i support jim clyburns  proposal which would help all kinds of communities in america jim and i have talked about this so we have to reject and stand up against the appeals to the kind of bigotry and the use of bluster and bullying that we see coming from trumps campaign but lets not forget the real economic challenges that too many americans of all backgrounds are facing today so thats how i think about it and thats how im going to try in this campaign to respond to and rebuke all of the horrible things he says on a pretty regular basis  but not about me i could care less about that  but when he goes after individuals when he accuses a distinguished federal judge of mexican heritage of not being fair when he insults a gold star family of a muslim american who served in the military  you know the list i will stand up and call him out on that but i will also keep reaching out to americans of all races and ethnicities and where ever they live to tell them that i am not going to forget about them after this election im going work my heart out to help every single person have a better job with a rising income and make sure their kids get a good education and everything else that i think theyre owed here in america    well let me start by saying every time i have done a job people have counted on me and trusted me and at the convention last week we highlighted the fights of my life starting as a lawyer for the childrens defense fund taking on the problem of juveniles in adult jails in south carolina segregated academies socalled in alabama fighting for kids with disabilities to get an education and all the way through the work i did as senator after  and representing all of you as secretary of state so there is  i  and i  i take this seriously dont you know dont doubt that i take it seriously you know it doesnt make me feel good when people say those things and i recognize that i have work to do but when i started running for the senate in new york a lot of the same things were said i won i worked hard for the people of new york and i was reelected with  percent of the vote after i demonstrated that i would be on their side i would fight for the people i represented i ran a really hard campaign against barack obama as i think everybody remembers it got a little contentious from time to time and to my surprise he turns around asks me to be secretary of state because he trusted me and then i served as secretary of state and when i left i had a  percent approval rating so ask yourselves  were  percent of the people in new york wrong were  percent of the american public wrong or maybe just maybe when im actually running for a job there is a real benefit to those on the other side in trying to stir up as much concern as possible so i take it seriously and im going to work my heart out in this campaign and as president to produce results for people to get the economy to work for everybody not just those at the top to do as much as i can to help people who as i said earlier may not even vote for me because i think our country is at a crossroads election president obama said it extremely well both in what his speech discussed in the convention what his press conferences since have pointed out this is a crossroads election there is so much at stake you can look at my record of public service you can meet people and families who were benefited by the childrens health insurance program you can meet people who were benefited by reforming the foster care and adoption system you can meet first responders and survivors from  who were benefited because i went to bat for them you can meet national guards members and their families who didnt have health care unless they were deployed before i worked with republicans to fix that you can go down a long list and wed be happy to provide it to you of what i have done because i believe in public service and i am proud that ive had the great great opportunity to work on behalf of giving more people a better life ever since i was right out of law school so im just going to get up every day and make my case and i think therell be an opportunity for a lot of people to actually hear it   mmhmm   oh my gosh well could i tell you that i am blessed to have a  a crew of great friends and ive had two chiefs of staff who were my africanamerican women friends maggie williams and cheryl mills i have been blessed to have people by my side in politics like minyon moore who is one of the leaders of my campaign ive had a great group of young people who i have been really motivated by and frankly learned from so i really have had a lifetime of friendship going back to my college years when one of my best friends was an africanamerican student so i cant compress into one conversation  theyve supported me theyve chastised me theyve raised issues with me theyve tried to expand my musical tastes so weve had  weve had a lot of  weve had a lot of great great times because of our friendships so i cant really pick one conversation out of you know  years of conversation and i dont want to embarrass my friends peggy lewis is here she just became the dean of communications at trinity washington and i want to congratulate her donna brazile is here shes our acting chair of the dnc so i  i guess ill leave it at that i think im going to  im going to respect the code of friendship silence but please know ive got a lot of great friends who have given me so much more   well i take them seriously because ive had the great privilege of working for many years with latino leaders activists business men and women you know just as i responded to the question my first experience working on behalf of latinos was  well actually even before i was a legal services lawyer through my church i babysat latino kids on saturdays while their parents and older siblings went to the fields outside of my home in chicago which used to be  hard to believe now miles of farmland it was my first real lesson in how much more we all have in common there i was  or  years old babysitting these little kids and at the end of the day the old ramshackle bus stopped at the end of the road and the parents and the older brothers and sisters got out and these little kids just broke loose and started running down that road with their arms outstretched calling for their mothers and their fathers and getting swept up in very tired arms and then when i was a little bit older my church arranged exchanges with latino churches we would go into the city of chicago sit in church basements talk about our lives and again it reinforced what to me was so much of a common sense of you know what we wanted in our lives even though their lives and mine were very different and as a legal services lawyer  as the chair of the legal services corporation we expanded legal services into places against a lot of political opposition  so i feel very fortunate that ive had the chance to work with and learn from so many latinas and latinos across america when i ran for the senate i worked closely with our elected representatives both at the city state and national level i was honored that they rallied around to support me and were part of the great victory that we had in the primary in new york so no i dont take any voter for granted and i particularly dont take any voter who is placing their trust and confidence in me for granted because i am going to get up as i said every single day and work my heart out to get the results that i have told you were going to achieve together and i know its hard ive been around as you all know very well im not new to this it doesnt happen by hoping it happens or wishing it happens it happens by doing everything you possibly can and i am blessed to have such close working relationships and friendships with latino leaders tonight at my house we will be having a big event with latino business leaders coming from around america and so im going to do what ive always done you see i think at the core of political leadership is relationship youve got to build relationships with individuals and communities i know that doesnt happen by just asking for it it happens because you work hard to achieve it so im going to do everything i can to make sure that any latino voter who votes for me knows that im going to be doing my best to deliver on everything that ive said and i will tell you as we go along what the challenges are because i may need to ask your help i may need you to put pressure on elected officials i may need you to flood the internet or flood the old fashioned mailbox of elected representatives so they know people are watching but thats how were going to get it done and im actually pretty confident and optimistic about that so i hope that people will take this election seriously because i sure take you seriously and together i think we can create the kind of future that everyone of our kids and grandkids deserves thank you all very much"
